Umbral,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.705,0.26471725698213616,0.7002153587720172,0.14340435719415848,0.3374647887323944,0.09104727162182702,0.5297430609471149,0.21807197426468858,72170,2352,11960,1198
0.71,0.26471725698213616,0.7002153587720172,0.1284437596302003,0.33974567981741116,0.07919136646906824,0.5260090913556259,0.21807197426468858,72497,2025,12116,1042
0.715,0.26471725698213616,0.7002153587720172,0.1114287529381869,0.33952768099109565,0.0666514667882657,0.5218794490754082,0.21807197426468858,72816,1706,12281,877
0.72,0.26471725698213616,0.7002153587720172,0.09940797605881205,0.34523271577044734,0.05806353549171606,0.5193098064458392,0.21807197426468858,73073,1449,12394,764
0.725,0.26471725698213616,0.7002153587720172,0.08565909545060947,0.34663072776280324,0.04886760905912753,0.5163019776864839,0.21807197426468858,73310,1212,12515,643
0.73,0.26471725698213616,0.7002153587720172,0.07463295269168026,0.3532818532818533,0.041723666210670314,0.5141188578765437,0.21807197426468858,73517,1005,12609,549
0.735,0.26471725698213616,0.7002153587720172,0.06034542553929389,0.3455123113582208,0.03305973552211582,0.5110012990162577,0.21807197426468858,73698,824,12723,435
0.74,0.26471725698213616,0.7002153587720172,0.04997176736307171,0.3504950495049505,0.026903784769721842,0.5090505075589035,0.21807197426468858,73866,656,12804,354
0.7449999999999999,0.26471725698213616,0.7002153587720172,0.04008016032064128,0.343980343980344,0.021279829761361908,0.5070570802815022,0.21807197426468858,73988,534,12878,280
0.7499999999999999,0.26471725698213616,0.7002153587720172,0.033031510322346976,0.35239567233384855,0.017327861377108983,0.505852680319536,0.21807197426468858,74103,419,12930,228
0.7549999999999999,0.26471725698213616,0.7002153587720172,0.026048145167191044,0.34970530451866405,0.013527891776865785,0.5045431251911892,0.21807197426468858,74191,331,12980,178
0.7599999999999999,0.26471725698213616,0.7002153587720172,0.020076764098021848,0.3487179487179487,0.0103359173126615,0.50346376392189,0.21807197426468858,74268,254,13022,136
0.7649999999999999,0.26471725698213616,0.7002153587720172,0.016204564037761094,0.3694915254237288,0.008283933728530172,0.5028940132398321,0.21807197426468858,74336,186,13049,109
0.7699999999999999,0.26471725698213616,0.7002153587720172,0.011519186176976587,0.36492890995260663,0.005851953184374525,0.5020269132283484,0.21807197426468858,74388,134,13081,77
0.7749999999999999,0.26471725698213616,0.7002153587720172,0.009312105737458696,0.3924050632911392,0.004711962304301566,0.5017118760556692,0.21807197426468858,74426,96,13096,62
0.7799999999999999,0.26471725698213616,0.7002153587720172,0.006333408731056322,0.4,0.0031919744642042863,0.5011732932625361,0.21807197426468858,74459,63,13116,42
0.7849999999999999,0.26471725698213616,0.7002153587720172,0.0039313525364784154,0.37681159420289856,0.001975984192126463,0.5006994866882641,0.21807197426468858,74479,43,13132,26
0.7899999999999999,0.26471725698213616,0.7002153587720172,0.0028774799333636226,0.3958333333333333,0.0014439884480924152,0.5005274208094841,0.21807197426468858,74493,29,13139,19
0.7949999999999999,0.26471725698213616,0.7002153587720172,0.0021231422505307855,0.4666666666666667,0.0010639914880680955,0.5004246448946205,0.21807197426468858,74506,16,13144,14
0.7999999999999999,0.26471725698213616,0.7002153587720172,0.0015177961599757153,0.5263157894736842,0.0007599939200486396,0.5003196121072292,0.21807197426468858,74513,9,13148,10
