Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.5249999999999999,0.3450717777008044,0.6915895017167712,0.2565553953059525,0.23103483817769532,0.6814105487156102,0.5995544939749335,0.6404825213452718,0.22694498129081228,44680,29842,4192,8966
0.5299999999999999,0.34713083702197234,0.6915895017167712,0.2565553953059525,0.23529570764406962,0.6615747074023408,0.6203671399049945,0.6409709236536676,0.22694498129081228,46231,28291,4453,8705
0.5349999999999999,0.3497889596954399,0.6915895017167712,0.2565553953059525,0.2403195542161824,0.6424228606171151,0.6414347441024127,0.6419288023597639,0.22694498129081228,47801,26721,4705,8453
0.5399999999999999,0.35032696609877817,0.6915895017167712,0.2565553953059525,0.24431443144314433,0.6188630490956072,0.6620192694774697,0.6404411592865384,0.22694498129081228,49335,25187,5015,8143
0.5449999999999999,0.3525819488100584,0.6915895017167712,0.2565553953059525,0.2502071251035626,0.5967472260221918,0.6842543141622608,0.6405007700922263,0.22694498129081228,50992,23530,5306,7852
0.5499999999999999,0.354733049459548,0.6915895017167712,0.2565553953059525,0.25625338020551647,0.5761513907888737,0.7047449075440809,0.6404481491664773,0.22694498129081228,52519,22003,5577,7581
0.5549999999999999,0.35450158822530975,0.6915895017167712,0.2565553953059525,0.2602998255172168,0.5555555555555556,0.7212501006414214,0.6384028280984885,0.22694498129081228,53749,20773,5848,7310
0.5599999999999999,0.35147162941235965,0.6915895017167712,0.2565553953059525,0.2633573323228496,0.5281957744338045,0.7391374359249617,0.6336666051793831,0.22694498129081228,55082,19440,6208,6950
0.565,0.34607913573348237,0.6915895017167712,0.2565553953059525,0.26626540556033246,0.49422404620763033,0.759534097313545,0.6268790717605877,0.22694498129081228,56602,17920,6655,6503
0.57,0.34175940942900285,0.6915895017167712,0.2565553953059525,0.27035038046363474,0.46443228454172364,0.7786828050776952,0.6215575448097094,0.22694498129081228,58029,16493,7047,6111
0.575,0.3381166182469114,0.6915895017167712,0.2565553953059525,0.2753955734021703,0.4378324973400213,0.796596978073589,0.6172147377068051,0.22694498129081228,59364,15158,7397,5761
0.58,0.3314526629053258,0.6915895017167712,0.2565553953059525,0.2798952879581152,0.4062927496580027,0.8154370521456751,0.6108649009018389,0.22694498129081228,60768,13754,7812,5346
0.585,0.3210306635553949,0.6915895017167712,0.2565553953059525,0.28281892408361803,0.3711810305517556,0.8338074662515768,0.6024942484016662,0.22694498129081228,62137,12385,8274,4884
0.59,0.30639943741209563,0.6915895017167712,0.2565553953059525,0.2851066614317498,0.3311293509651923,0.853398996269558,0.5922641736173752,0.22694498129081228,63597,10925,8801,4357
0.595,0.2869594876264827,0.6915895017167712,0.2565553953059525,0.2861894323078086,0.28773369813041494,0.8732857411234266,0.5805097196269208,0.22694498129081228,65079,9443,9372,3786
0.6,0.2702854845195014,0.6915895017167712,0.2565553953059525,0.2869706284153005,0.25543395652834777,0.8879391320683825,0.5716865442983652,0.22694498129081228,66171,8351,9797,3361
0.605,0.25392514639735214,0.6915895017167712,0.2565553953059525,0.28747117601844735,0.22739018087855298,0.9004857625935965,0.5639379717360747,0.22694498129081228,67106,7416,10166,2992
0.61,0.23993206096634337,0.6915895017167712,0.2565553953059525,0.2912642430819316,0.20398236814105486,0.9123614503099756,0.5581719092255153,0.22694498129081228,67991,6531,10474,2684
0.615,0.2264943306425272,0.6915895017167712,0.2565553953059525,0.2933639550344494,0.18445052439580484,0.9215533667910147,0.5530019455934098,0.22694498129081228,68676,5846,10731,2427
0.62,0.2148273363921758,0.6915895017167712,0.2565553953059525,0.2946866304491851,0.16902264781881746,0.9285714285714286,0.548797038195123,0.22694498129081228,69199,5323,10934,2224
0.625,0.20444533440128154,0.6915895017167712,0.2565553953059525,0.2995013200352009,0.1551907584739322,0.9359115429000832,0.5455511506870077,0.22694498129081228,69746,4776,11116,2042
0.63,0.19295796494493564,0.6915895017167712,0.2565553953059525,0.3017952450266861,0.14181486548107616,0.9420707978851882,0.5419428316831322,0.22694498129081228,70205,4317,11292,1866
0.635,0.1800663740498876,0.6915895017167712,0.2565553953059525,0.30448950036205646,0.12783097735218119,0.9484447545691205,0.5381378659606508,0.22694498129081228,70680,3842,11476,1682
0.6399999999999999,0.16841988705569705,0.6915895017167712,0.2565553953059525,0.31015497553017946,0.11559507523939809,0.9546040095542256,0.5350995423968119,0.22694498129081228,71139,3383,11637,1521
0.6449999999999999,0.15348437051907082,0.6915895017167712,0.2565553953059525,0.3128361000701426,0.10168718650250798,0.9605619816966802,0.5311245840995941,0.22694498129081228,71583,2939,11820,1338
0.6499999999999999,0.1393695188433278,0.6915895017167712,0.2565553953059525,0.31629908552985475,0.08937528499772002,0.9658892675988299,0.5276322762982749,0.22694498129081228,71980,2542,11982,1176
0.6549999999999999,0.12489265120844069,0.6915895017167712,0.2565553953059525,0.3237913486005089,0.0773673810609515,0.9714715117683369,0.5244194464146442,0.22694498129081228,72396,2126,12140,1018
0.6599999999999999,0.11056992852172813,0.6915895017167712,0.2565553953059525,0.3296869105997737,0.0664234686122511,0.976154692574005,0.5212890805931281,0.22694498129081228,72745,1777,12284,874
0.6649999999999999,0.09675316208110575,0.6915895017167712,0.2565553953059525,0.3403669724770642,0.05639154886760906,0.9807036848179062,0.5185476168427576,0.22694498129081228,73084,1438,12416,742
0.6699999999999999,0.07756531106921627,0.6915895017167712,0.2565553953059525,0.3400236127508855,0.04377564979480164,0.98499771879445,0.5143866842946259,0.22694498129081228,73404,1118,12582,576
0.6749999999999999,0.06272450953302017,0.6915895017167712,0.2565553953059525,0.34446130500758726,0.03450372397020824,0.9884061082633316,0.51145491611677,0.22694498129081228,73658,864,12704,454
0.6799999999999999,0.048439485948312384,0.6915895017167712,0.2565553953059525,0.34163346613545814,0.026067791457668337,0.9911301360672017,0.508598963762435,0.22694498129081228,73861,661,12815,343
0.6849999999999999,0.03803372802296376,0.6915895017167712,0.2565553953059525,0.3410553410553411,0.020139838881288948,0.9931295456375299,0.5066346922594094,0.22694498129081228,74010,512,12893,265
0.69,0.026695842450765863,0.6915895017167712,0.2565553953059525,0.33152173913043476,0.013907888736890105,0.9950484420707979,0.504478165403844,0.22694498129081228,74153,369,12975,183
0.695,0.01918111398008115,0.6915895017167712,0.2565553953059525,0.327455919395466,0.009879920960632315,0.9964171654008213,0.5031485431807268,0.22694498129081228,74255,267,13028,130
0.7,0.013108893192313422,0.6915895017167712,0.2565553953059525,0.3283582089552239,0.006687946496428028,0.9975846058881941,0.502136276192311,0.22694498129081228,74342,180,13070,88
0.705,0.00869891263592051,0.6915895017167712,0.2565553953059525,0.327683615819209,0.004407964736282109,0.9984031561149728,0.5014055604256275,0.22694498129081228,74403,119,13100,58
0.71,0.0048250904704463205,0.6915895017167712,0.2565553953059525,0.3018867924528302,0.0024319805441556466,0.9990070046429242,0.50071949259354,0.22694498129081228,74448,74,13126,32
