Repeticion,Average_Precision,AUC_ROC,Brier
196,0.002044179963102133,0.0005182349631640548,0.07727612167206235
197,0.0045997591717295006,0.0009614761173539765,0.07660626536334611
198,0.0028052966652476474,0.0003977231680055704,0.07891063012800026
199,-0.001960519627393187,-0.0006048729615875104,0.0802814163029924
200,-0.0018229640056472984,-0.00020617022878599567,0.07865201885900205
201,0.001181971527318748,-0.0008639244280426173,0.07604629566122373
202,0.004676545946440569,0.0013573301038721786,0.0767177031591868
203,0.004202143181790019,0.0013410821878188095,0.07874687571674127
204,0.002666574710043612,0.0011325235296782976,0.07796114880240915
205,-0.0006255150206407323,-0.0007049748151159996,0.07840708088051726
206,-0.0005315140552163422,-0.0007907128389011975,0.07797299634097637
207,0.004418273438439091,0.0028811812024416295,0.07738149716381057
208,-0.0006886784705102955,-0.0010708919579619502,0.07971301448478083
209,0.001817959917286227,-0.0011108459772185553,0.07577819163325233
210,-0.0016686639057648112,-0.0008003826369243905,0.07697484474500416
211,0.0011745762406703553,0.00028586347292736125,0.07755501868903802
212,0.003317726460949577,0.0007928013300620984,0.07707778133810628
213,0.0026842277070207032,0.0016397085401156364,0.07829504139856283
214,-0.0010244195499012343,-0.0009352450681383573,0.0785334513080645
215,0.002950752334717366,0.0001983561468004158,0.079045077272624
216,0.0011342852533013925,-0.0002784905004764582,0.07698409997725897
217,-0.0005361766443882643,0.0009243574267608912,0.07704031602925421
218,0.004275678507967395,0.00153117706271233,0.07874689430159754
