Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
RAFAEL URIBE URIBE,Tarde,Saturday,0.07279693486590039,261
RAFAEL URIBE URIBE,Tarde,Sunday,0.05384615384615385,260
RAFAEL URIBE URIBE,Tarde,Thursday,0.08812260536398467,261
RAFAEL URIBE URIBE,Tarde,Tuesday,0.07662835249042145,261
RAFAEL URIBE URIBE,Tarde,Wednesday,0.07662835249042145,261
SAN CRISTÓBAL,Madrugada,Friday,0.10344827586206896,261
SAN CRISTÓBAL,Madrugada,Monday,0.08812260536398467,261
SAN CRISTÓBAL,Madrugada,Saturday,0.13409961685823754,261
SAN CRISTÓBAL,Madrugada,Sunday,0.1423076923076923,260
SAN CRISTÓBAL,Madrugada,Thursday,0.07279693486590039,261
SAN CRISTÓBAL,Madrugada,Tuesday,0.09578544061302682,261
SAN CRISTÓBAL,Madrugada,Wednesday,0.10344827586206896,261
SAN CRISTÓBAL,Mañana,Friday,0.09578544061302682,261
SAN CRISTÓBAL,Mañana,Monday,0.08812260536398467,261
SAN CRISTÓBAL,Mañana,Saturday,0.07662835249042145,261
SAN CRISTÓBAL,Mañana,Sunday,0.05384615384615385,260
SAN CRISTÓBAL,Mañana,Thursday,0.08812260536398467,261
SAN CRISTÓBAL,Mañana,Tuesday,0.11494252873563218,261
SAN CRISTÓBAL,Mañana,Wednesday,0.08812260536398467,261
SAN CRISTÓBAL,Noche,Friday,0.38697318007662834,261
SAN CRISTÓBAL,Noche,Monday,0.3218390804597701,261
SAN CRISTÓBAL,Noche,Saturday,0.3946360153256705,261
SAN CRISTÓBAL,Noche,Sunday,0.27307692307692305,260
SAN CRISTÓBAL,Noche,Thursday,0.32567049808429116,261
SAN CRISTÓBAL,Noche,Tuesday,0.2835249042145594,261
SAN CRISTÓBAL,Noche,Wednesday,0.3333333333333333,261
SAN CRISTÓBAL,Tarde,Friday,0.05747126436781609,261
SAN CRISTÓBAL,Tarde,Monday,0.05363984674329502,261
SAN CRISTÓBAL,Tarde,Saturday,0.09195402298850575,261
SAN CRISTÓBAL,Tarde,Sunday,0.046153846153846156,260
SAN CRISTÓBAL,Tarde,Thursday,0.07279693486590039,261
SAN CRISTÓBAL,Tarde,Tuesday,0.09195402298850575,261
SAN CRISTÓBAL,Tarde,Wednesday,0.06130268199233716,261
SANTA FE,Madrugada,Friday,0.11494252873563218,261
SANTA FE,Madrugada,Monday,0.04980842911877394,261
SANTA FE,Madrugada,Saturday,0.11877394636015326,261
SANTA FE,Madrugada,Sunday,0.11923076923076924,260
SANTA FE,Madrugada,Thursday,0.06513409961685823,261
SANTA FE,Madrugada,Tuesday,0.04597701149425287,261
SANTA FE,Madrugada,Wednesday,0.06896551724137931,261
SANTA FE,Mañana,Friday,0.24521072796934865,261
SANTA FE,Mañana,Monday,0.24904214559386972,261
SANTA FE,Mañana,Saturday,0.19157088122605365,261
SANTA FE,Mañana,Sunday,0.19615384615384615,260
SANTA FE,Mañana,Thursday,0.2796934865900383,261
SANTA FE,Mañana,Tuesday,0.2988505747126437,261
SANTA FE,Mañana,Wednesday,0.2720306513409962,261
SANTA FE,Noche,Friday,0.32950191570881227,261
SANTA FE,Noche,Monday,0.26053639846743293,261
SANTA FE,Noche,Saturday,0.26436781609195403,261
SANTA FE,Noche,Sunday,0.19615384615384615,260
SANTA FE,Noche,Thursday,0.2681992337164751,261
SANTA FE,Noche,Tuesday,0.3065134099616858,261
SANTA FE,Noche,Wednesday,0.2413793103448276,261
SANTA FE,Tarde,Friday,0.3524904214559387,261
SANTA FE,Tarde,Monday,0.3448275862068966,261
SANTA FE,Tarde,Saturday,0.3065134099616858,261
SANTA FE,Tarde,Sunday,0.2423076923076923,260
SANTA FE,Tarde,Thursday,0.31800766283524906,261
SANTA FE,Tarde,Tuesday,0.31800766283524906,261
SANTA FE,Tarde,Wednesday,0.3563218390804598,261
SUBA,Madrugada,Friday,0.2260536398467433,261
SUBA,Madrugada,Monday,0.1839080459770115,261
SUBA,Madrugada,Saturday,0.3103448275862069,261
SUBA,Madrugada,Sunday,0.3038461538461538,260
SUBA,Madrugada,Thursday,0.21839080459770116,261
SUBA,Madrugada,Tuesday,0.12643678160919541,261
SUBA,Madrugada,Wednesday,0.1724137931034483,261
SUBA,Mañana,Friday,0.2567049808429119,261
SUBA,Mañana,Monday,0.23754789272030652,261
SUBA,Mañana,Saturday,0.19923371647509577,261
SUBA,Mañana,Sunday,0.09615384615384616,260
SUBA,Mañana,Thursday,0.25287356321839083,261
SUBA,Mañana,Tuesday,0.2988505747126437,261
SUBA,Mañana,Wednesday,0.30268199233716475,261
SUBA,Noche,Friday,0.1685823754789272,261
SUBA,Noche,Monday,0.13026819923371646,261
SUBA,Noche,Saturday,0.2260536398467433,261
SUBA,Noche,Sunday,0.11923076923076924,260
SUBA,Noche,Thursday,0.15708812260536398,261
SUBA,Noche,Tuesday,0.17624521072796934,261
SUBA,Noche,Wednesday,0.15708812260536398,261
SUBA,Tarde,Friday,0.24904214559386972,261
SUBA,Tarde,Monday,0.2222222222222222,261
SUBA,Tarde,Saturday,0.23754789272030652,261
SUBA,Tarde,Sunday,0.16538461538461538,260
SUBA,Tarde,Thursday,0.20306513409961685,261
SUBA,Tarde,Tuesday,0.18773946360153257,261
SUBA,Tarde,Wednesday,0.24521072796934865,261
SUMAPAZ,Madrugada,Friday,0.0,261
SUMAPAZ,Madrugada,Monday,0.0,261
SUMAPAZ,Madrugada,Saturday,0.0,261
SUMAPAZ,Madrugada,Sunday,0.0,260
SUMAPAZ,Madrugada,Thursday,0.0,261
SUMAPAZ,Madrugada,Tuesday,0.0,261
SUMAPAZ,Madrugada,Wednesday,0.0,261
SUMAPAZ,Mañana,Friday,0.0,261
SUMAPAZ,Mañana,Monday,0.0,261
SUMAPAZ,Mañana,Saturday,0.0,261
SUMAPAZ,Mañana,Sunday,0.0038461538461538464,260
SUMAPAZ,Mañana,Thursday,0.0038314176245210726,261
SUMAPAZ,Mañana,Tuesday,0.0,261
SUMAPAZ,Mañana,Wednesday,0.007662835249042145,261
SUMAPAZ,Noche,Friday,0.0,261
SUMAPAZ,Noche,Monday,0.0,261
SUMAPAZ,Noche,Saturday,0.0038314176245210726,261
